Year,Month,Model,Type,Power,Region,Country,Units_Sold,Avg_Price_USD,Revenue_USD,Cost_USD,Profit_USD,Profit_Margin,Gross_Margin,Operating_Expenses_USD,Net_Profit_USD,ROI,EBITDA_Margin
2020,Jan,i7,Sedan,Electric,USA,USA,202,48273,,7362183.9,2388962.1,24.5,35.88,,,,45.95
2020,Jan,i7,Sedan,Electric,China,China,1022,56786,58035292,38474742.94,19560549.06,33.7,48.04,7357624.63,12202924.43,31.72,58.11
2020,Jan,i7,Sedan,Electric,Rest_of_World,South Africa,655,62568,40982040,28293100.62,12688939.38,30.96,36.52,5195639.69,7493299.69,26.48,46.59
2020,Jan,M3,Sedan,Petrol,Europe,UK,1880,86866,163308080,135957403.8,27350676.25,16.75,42.61,20703945.99,6646730.26,4.89,52.68
2020,Jan,M3,Sedan,Petrol,USA,USA,982,106838,104914916,73030190.8,31884725.2,30.39,21.33,13300950.9,18583774.3,25.45,31.4
2020,Jan,M3,Sedan,Petrol,China,China,275,110636,,21949291.52,8475608.48,27.86,40.56,,,,50.63
2020,Jan,M3,Sedan,Petrol,Rest_of_World,India,1700,58920,100164000,76998760.07,23165239.93,23.13,35.92,12698637.12,10466602.81,13.59,45.99
2020,Jan,M5,Sedan,Petrol,Europe,France,775,92028,71321700,52148434.53,,26.88,25.87,9042054.9,,,35.94
2020,Jan,M5,Sedan,Petrol,USA,USA,1986,104233,207006738,159065116.2,47941621.77,23.16,42.99,26243994.31,21697627.46,13.64,53.06
2020,Jan,M5,Sedan,Petrol,China,China,1481,43442,64337602,48064622.25,16272979.75,25.29,30.97,8156621.75,8116358,16.89,41.04
2020,Jan,M5,Sedan,Petrol,Rest_of_World,Brazil,1266,119272,150998352,110845133.9,40153218.12,26.59,25.85,19143337.7,21009880.42,18.95,35.92
2020,Jan,M8,Coupe,Petrol,Europe,France,1310,79274,103848940,,23101664.88,22.25,45.84,13165808.11,9935856.77,,55.91
2020,Jan,M8,Coupe,Petrol,USA,USA,906,44808,40596048,,7646015.75,18.83,42.36,5146704.22,2499311.53,,52.43
2020,Jan,M8,Coupe,Petrol,China,China,1028,58370,60004360,42541541.86,17462818.14,29.1,26,7607260.02,9855558.12,23.17,36.07
2020,Jan,M8,Coupe,Petrol,Rest_of_World,Brazil,1277,103380,132016260,,27624779.98,20.93,44.82,16736817.41,10887962.57,,54.89
2020,Jan,iX3,SUV,Electric,Europe,France,788,67057,52840916,34423416.82,18417499.18,34.85,24.48,6699089.66,11718409.52,34.04,34.55
2020,Jan,iX3,SUV,Electric,USA,USA,476,,30747696,25745124.72,5002571.28,16.27,20.03,3898145.38,1104425.9,4.29,30.1
2020,Jan,iX3,SUV,Electric,China,China,1418,117887,167163766,110038068.2,57125697.78,34.17,25.14,21192763.9,35932933.88,32.66,35.21
2020,Jan,iX3,SUV,Electric,Rest_of_World,Japan,1026,81244,83356344,66996513.03,16359830.97,19.63,46.55,10567788.47,5792042.5,8.65,56.62
2020,Jan,2 Series,Hatchback,Diesel,Europe,Italy,216,119741,25864056,17928250.77,7935805.23,30.68,29.23,3279005.05,4656800.18,25.97,39.3
2020,Jan,2 Series,Hatchback,Electric,USA,USA,931,97631,90894461,74455170.26,16439290.74,18.09,28.93,11523459.29,4915831.45,6.6,39
2020,Jan,2 Series,Hatchback,Electric,China,China,1870,44545,83299150,67296539.05,16002610.95,19.21,27.93,10560537.5,5442073.45,8.09,38
2020,Jan,2 Series,Hatchback,Electric,Rest_of_World,Japan,648,110708,71738784,56649516.69,15089267.31,21.03,26.2,9094932.16,5994335.15,10.58,36.27
2020,Jan,4 Series,Coupe,Petrol,Europe,Spain,741,76089,56381949,36721471.08,19660477.92,34.87,32.1,7148016.36,12512461.56,34.07,42.17
2020,Jan,4 Series,Coupe,Hybrid,USA,USA,1024,66446,68040704,48404562.81,19636141.19,28.86,44.45,8626095.3,11010045.89,22.75,54.52
2020,Jan,4 Series,Coupe,Diesel,China,China,1720,88804,152742880,102120173.4,,33.14,30.76,19364506.26,,,40.83
2020,Jan,4 Series,Coupe,Hybrid,Rest_of_World,South Africa,1216,58824,71529984,48242908.18,,32.56,40.98,9068460.82,,,51.05
2020,Jan,8 Series,Coupe,Electric,Europe,France,990,72709,71981910,53022813.97,18959096.03,26.34,20.52,9125755.3,9833340.73,18.55,30.59
2020,Jan,8 Series,Coupe,Petrol,USA,USA,871,110018,95825678,67173525.05,28652152.95,29.9,41.77,12148631.36,16503521.59,24.57,51.84
2020,Jan,8 Series,Coupe,Diesel,China,China,1627,81205,132120535,86155218.66,45965316.34,34.79,39.31,16750037.23,29215279.11,33.91,49.38
2020,Jan,8 Series,Coupe,Petrol,Rest_of_World,South Africa,1353,80767,109277751,82618492.49,26659258.51,24.4,33.25,13854064.38,12805194.13,15.5,43.32
2020,Jan,i3,Hatchback,Electric,Europe,UK,459,,52926372,41333064.34,11593307.66,21.9,25.03,6709923.64,4883384.02,11.81,35.1
2020,Jan,i3,Hatchback,Electric,USA,USA,1094,54644,59780536,48942452.94,10838083.06,18.13,21.92,7578883.96,3259199.1,6.66,31.99
2020,Jan,i3,Hatchback,Electric,China,China,1780,58754,104582120,69955399.39,34626720.61,33.11,47.72,13258759.54,21367961.07,30.55,57.79
2020,Jan,i3,Hatchback,Electric,Rest_of_World,South Africa,504,96135,48452040,37758799.67,10693240.33,22.07,24.58,6142674.75,4550565.58,12.05,34.65
2020,Jan,X6,SUV,Electric,Europe,Italy,1645,59446,97788670,77120401.51,20668268.49,21.14,42.25,12397496.45,8270772.04,10.72,52.32
2020,Jan,X6,SUV,Electric,USA,USA,317,67094,21268798,17282108.31,3986689.69,18.74,44.98,2696425.34,1290264.35,7.47,55.05
2020,Jan,X6,SUV,Petrol,China,China,695,79058,54945310,44818959.49,10126350.51,18.43,31.81,6965881.48,3160469.03,7.05,41.88
2020,Jan,X6,SUV,Hybrid,Rest_of_World,Australia,1587,90165,143091855,100216491.3,42875363.7,29.96,21.3,18140964.23,24734399.47,24.68,31.37
2020,Feb,3 Series,Sedan,Hybrid,Europe,France,598,,24431290,18034987.22,6396302.78,26.18,29.69,3097361.19,3298941.59,18.29,39.76
2020,Feb,3 Series,Sedan,Electric,USA,USA,1005,44163,,30592458.12,13791356.88,31.07,39.8,,,,49.87
2020,Feb,3 Series,Sedan,Electric,China,China,462,61002,28182924,21338989.76,6843934.24,24.28,30.09,3572987.55,3270946.69,15.33,40.16
2020,Feb,3 Series,Sedan,Petrol,Rest_of_World,Australia,1395,58366,81420570,58459488.78,22961081.22,28.2,49.15,10322374.03,12638707.19,21.62,59.22
2020,Feb,5 Series,Sedan,Diesel,Europe,UK,863,101288,87411544,64144446.5,23267097.5,26.62,28.78,11081900.45,12185197.05,19,38.85
2020,Feb,5 Series,Sedan,Petrol,USA,USA,512,63516,32520192,22796333.79,9723858.21,29.9,41.93,4122859.68,5600998.53,24.57,52
2020,Feb,5 Series,Sedan,Electric,China,China,1019,61847,63022093,47354062.46,15668030.54,24.86,20,7989843.55,7678186.99,16.21,30.07
2020,Feb,5 Series,Sedan,Petrol,Rest_of_World,Australia,294,61268,18012792,12074434.58,5938357.42,32.97,48.25,2283633.93,3654723.49,30.27,58.32
2020,Feb,7 Series,Sedan,Hybrid,Europe,Germany,1700,116851,198646700,138769294.6,59877405.37,30.14,33.7,25184121.62,34693283.75,25,43.77
2020,Feb,7 Series,Sedan,Diesel,USA,USA,452,79079,35743708,24880212.33,10863495.67,30.39,26.39,4531532.06,6331963.61,25.45,36.46
2020,Feb,7 Series,Sedan,Diesel,China,China,1913,48229,,75238988.8,17023088.2,18.45,34.77,,,,44.84
2020,Feb,7 Series,Sedan,Diesel,Rest_of_World,Japan,838,43053,36078414,24717885.23,11360528.77,31.49,32.62,4573965.57,6786563.2,27.46,42.69
2020,Feb,X1,SUV,Electric,Europe,Spain,1754,78313,137361002,107225582.4,30135419.59,21.94,49.19,17414415.54,12721004.05,11.86,59.26
2020,Feb,X1,SUV,Diesel,USA,USA,1376,57183,78683808,59422862.13,19260945.87,24.48,38.92,9975411.57,9285534.3,15.63,48.99
2020,Feb,X1,SUV,Petrol,China,China,1738,84338,146579444,120183390.5,26396053.49,18.01,27.62,18583115.37,7812938.12,6.5,37.69
2020,Feb,X1,SUV,Petrol,Rest_of_World,Brazil,1798,59688,107319024,71436598.7,35882425.3,33.44,45.77,13605740,22276685.3,31.18,55.84
2020,Feb,X3,SUV,Diesel,Europe,Germany,322,49063,15798286,10487854.99,5310431.01,33.61,33.7,2002882.28,3307548.73,31.54,43.77
2020,Feb,X3,SUV,Electric,USA,USA,1841,69966,128807406,98228878.89,30578527.11,23.74,39.94,16330003.86,14248523.25,14.51,50.01
2020,Feb,X3,SUV,Diesel,China,China,1213,106557,129253641,98380568.23,30873072.77,23.89,26.5,16386576.84,14486495.93,14.72,36.57
2020,Feb,X3,SUV,Hybrid,Rest_of_World,Brazil,1384,116161,160766824,105129141.6,55637682.42,34.61,40.31,20381769.48,35255912.94,33.54,50.38
2020,Feb,X5,SUV,Petrol,Europe,Spain,1572,77242,121424424,82030296.5,,32.44,26.82,15394000.81,,,36.89
2020,Feb,X5,SUV,Diesel,USA,USA,1126,103661,116722286,76315804.8,40406481.2,34.62,22.65,14797871.02,25608610.18,33.56,32.72
2020,Feb,X5,SUV,Diesel,China,China,1068,61771,65971428,43975441.81,21995986.19,33.34,34.89,8363755.68,13632230.51,31,44.96
2020,Feb,X5,SUV,Electric,Rest_of_World,Japan,302,101981,30798262,20843369.28,9954892.72,32.32,43.23,3904556.06,6050336.66,29.03,53.3
2020,Feb,X7,SUV,Diesel,Europe,Germany,859,100528,86353552,56579928.68,29773623.32,34.48,38.9,10947769.86,18825853.46,33.27,48.97
2020,Feb,X7,SUV,Diesel,USA,USA,702,83845,58859190,48515704.28,10343485.72,17.57,21.08,7462077.14,2881408.58,5.94,31.15
2020,Feb,X7,SUV,Electric,China,China,1750,115377,201909750,169571907.8,,16.02,30,25597806.05,,,40.07
2020,Feb,X7,SUV,Electric,Rest_of_World,Australia,1687,44682,75378534,54549809.89,20828724.11,27.63,46.35,9556374.04,11272350.07,20.66,56.42
2020,Feb,Z4,Convertible,Electric,Europe,Spain,1577,81823,129034871,104859840.4,24175030.65,18.74,35.83,16358841.52,7816189.13,7.45,45.9
2020,Feb,Z4,Convertible,Electric,USA,USA,1656,,120011976,79382769.62,40629206.38,33.85,43.89,15214932.84,25414273.54,32.01,53.96
2020,Feb,Z4,Convertible,Petrol,China,China,1971,56168,110707128,88826004.07,21881123.93,19.76,22.48,14035278.59,7845845.34,8.83,32.55
2020,Feb,Z4,Convertible,Petrol,Rest_of_World,Australia,1416,37231,52719096,42326804.01,10392291.99,19.71,46.61,6683645.51,3708646.48,8.76,56.68
2020,Feb,i4,Coupe,Electric,Europe,France,294,40801,11995494,,2022651.16,16.86,27.53,1520770.19,501880.97,,37.6
2020,Feb,i4,Coupe,Electric,USA,USA,1041,78105,81307305,62734248.97,,22.84,23.22,10308014.47,,,33.29
2020,Feb,i4,Coupe,Electric,China,China,612,76002,46513224,33039169.9,13474054.1,28.97,26.18,5896874.65,7577179.45,22.93,36.25
2020,Feb,i4,Coupe,Electric,Rest_of_World,India,993,77390,76848270,60734131.01,16114138.99,20.97,37.24,9742704.9,6371434.09,10.49,47.31
2020,Feb,iX,SUV,Electric,Europe,France,498,103279,51432942,38646145.61,12786796.39,24.86,46.02,6520588.9,6266207.49,16.21,56.09
2020,Feb,iX,SUV,Electric,USA,USA,1906,72180,137575080,100550914.4,37024165.59,26.91,38.1,17441556.02,19582609.57,19.48,48.17
2020,Feb,iX,SUV,Electric,China,China,270,77191,20841570,13614423.68,7227146.32,34.68,38.59,2642262.03,4584884.29,33.68,48.66
2020,Feb,iX,SUV,Electric,Rest_of_World,India,1659,88277,146451543,109312663.9,37138879.06,25.36,44.54,18566900.28,18571978.78,16.99,54.61
2020,Feb,i7,Sedan,Electric,Europe,UK,1192,102932,122694944,93724406.77,28970537.23,23.61,23.77,15555075.38,13415461.85,14.31,33.84
2020,Feb,i7,Sedan,Electric,USA,USA,1571,76624,120376304,100123563.7,,16.82,23.91,15261121.78,,,33.98
2020,Feb,i7,Sedan,Electric,China,China,1088,114062,124099456,86128082.2,37971373.8,30.6,33.1,15733137.24,22238236.56,25.82,43.17
2020,Feb,i7,Sedan,Electric,Rest_of_World,Brazil,1129,81055,91511095,60316781.5,31194313.5,34.09,36.95,11601635.19,19592678.31,32.48,47.02
2020,Feb,M3,Sedan,Petrol,Europe,UK,738,96500,71217000,59699571.99,11517428.01,16.17,20.08,9028781.19,2488646.82,4.17,30.15
2020,Feb,M3,Sedan,Petrol,USA,USA,1042,95939,99968438,82320485.96,17647952.04,17.65,28.26,12673844.07,4974107.97,6.04,38.33
2020,Feb,M3,Sedan,Petrol,China,China,1930,76471,147589030,113897978.4,33691051.6,22.83,34.31,18711109.12,14979942.48,13.15,44.38
2020,Feb,M3,Sedan,Petrol,Rest_of_World,Australia,1126,93758,105571508,73543885.94,32027622.06,30.34,44.04,13384192.62,18643429.44,25.35,54.11
2020,Feb,M5,Sedan,Petrol,Europe,Germany,1620,47532,77001840,63242201.38,13759638.62,17.87,36.86,9762174.27,3997464.35,6.32,46.93
2020,Feb,M5,Sedan,Petrol,USA,USA,1169,77038,90057422,69963488.16,20093933.84,22.31,49.05,11417340.78,8676593.06,12.4,59.12
2020,Feb,M5,Sedan,Petrol,China,China,970,83120,80626400,65870137.18,14756262.82,18.3,28.85,10221690.38,4534572.44,6.88,38.92
2020,Feb,M5,Sedan,Petrol,Rest_of_World,India,1307,102617,134120419,91655391.03,42465027.97,31.66,23.19,17003579.44,25461448.53,27.78,33.26
2020,Feb,M8,Coupe,Petrol,Europe,France,675,45250,30543750,21386346.47,9157403.53,29.98,39.82,3872289.42,5285114.11,24.71,49.89
2020,Feb,M8,Coupe,Petrol,USA,USA,874,45171,39479454,,9225393.89,23.37,42.29,5005144.16,4220249.73,,52.36
2020,Feb,M8,Coupe,Petrol,China,China,1509,45578,68777202,58002576.66,10774625.34,15.67,38.7,8719467.37,2055157.97,3.54,48.77
2020,Feb,M8,Coupe,Petrol,Rest_of_World,South Africa,761,35543,27048223,18553622.42,8494600.58,31.41,31.21,3429131.91,5065468.67,27.3,41.28
2020,Feb,iX3,SUV,Electric,Europe,Spain,1589,113733,180721737,118825555.4,61896181.56,34.25,34.11,22911622.51,38984559.05,32.81,44.18
2020,Feb,iX3,SUV,Electric,USA,USA,1853,48414,89711142,58920170.64,30790971.36,34.32,46.24,11373439.93,19417531.43,32.96,56.31
2020,Feb,iX3,SUV,Electric,China,China,1629,114761,186945669,150358923.2,36586745.85,19.57,31.32,23700682.99,12886062.86,8.57,41.39
2020,Feb,iX3,SUV,Electric,Rest_of_World,Australia,1731,89127,154278837,105676933.7,48601903.29,31.5,47.8,19559232.52,29042670.77,27.48,57.87
2020,Feb,2 Series,Hatchback,Petrol,Europe,UK,643,89204,57358172,,,21.8,44.76,7271780.4,,,54.83
2020,Feb,2 Series,Hatchback,Diesel,USA,USA,1983,41329,81955407,66099234.14,15856172.86,19.35,36.64,10390179.84,5465993.02,8.27,46.71
2020,Feb,2 Series,Hatchback,Electric,China,China,540,113150,61101000,49470705.84,11630294.16,19.03,45.05,7746290.35,3884003.81,7.85,55.12
2020,Feb,2 Series,Hatchback,Hybrid,Rest_of_World,Japan,418,96498,40336164,27029371.83,13306792.17,32.99,47.65,5113756.53,8193035.64,30.31,57.72
2020,Feb,4 Series,Coupe,Electric,Europe,Germany,203,93010,18881030,12286508.9,6594521.1,34.93,42.43,2393707.8,4200813.3,34.19,52.5
2020,Feb,4 Series,Coupe,Electric,USA,USA,1675,68008,113913400,93746727.36,20166672.64,17.7,45.65,14441764.8,5724907.84,6.11,55.72
2020,Feb,4 Series,Coupe,Diesel,China,China,625,77517,48448125,41031629.53,,15.31,42.81,6142178.41,,,52.88
2020,Feb,4 Series,Coupe,Petrol,Rest_of_World,Japan,1063,44424,47222712,35528012.7,11694699.3,24.76,47.14,5986822.44,5707876.86,16.07,57.21
2020,Feb,8 Series,Coupe,Petrol,Europe,France,732,97115,71088180,47858279.25,23229900.75,32.68,27.63,9012449.59,14217451.16,29.71,37.7
2020,Feb,8 Series,Coupe,Petrol,USA,USA,1084,81823,88696132,72549647.49,16146484.51,18.2,23.48,11244758.54,4901725.97,6.76,33.55
2020,Feb,8 Series,Coupe,Diesel,China,China,1863,86346,160862598,,41416729.75,25.75,26.52,20393911.56,21022818.19,,36.59
2020,Feb,8 Series,Coupe,Hybrid,Rest_of_World,South Africa,1770,119208,210998160,142441177.4,68556982.65,32.49,45.01,26750020.63,41806962.02,29.35,55.08
2020,Feb,i3,Hatchback,Electric,Europe,Germany,1676,119734,200674184,147027361.9,53646822.08,26.73,35.57,25441162.91,28205659.17,19.18,45.64
2020,Feb,i3,Hatchback,Electric,USA,USA,1274,41343,52670982,40233666.46,12437315.54,23.61,45.65,6677545.69,5759769.85,14.32,55.72
2020,Feb,i3,Hatchback,Electric,China,China,736,119601,88026336,60633948.48,27392387.52,31.12,41.04,11159842.83,16232544.69,26.77,51.11
2020,Feb,i3,Hatchback,Electric,Rest_of_World,India,907,61723,55982761,44425287.33,11557473.67,20.64,27.31,7097407.92,4460065.75,10.04,37.38
2020,Feb,X6,SUV,Petrol,Europe,Germany,1192,58249,,57418155.5,12014652.5,17.3,46.46,,,,56.53
2020,Feb,X6,SUV,Electric,USA,USA,1355,41878,56744690,47353212.88,9391477.12,16.55,45,7194004.1,2197473.02,4.64,55.07
2020,Feb,X6,SUV,Diesel,China,China,347,78896,27376912,23000406.89,4376505.11,15.99,21.66,3470802.59,905702.52,3.94,31.73
2020,Feb,X6,SUV,Petrol,Rest_of_World,Brazil,1098,64388,70698024,51038785.62,19659238.38,27.81,35.04,8962986.22,10696252.16,20.96,45.11
2020,Mar,3 Series,Sedan,Hybrid,Europe,France,1070,38398,41085860,33002442.19,8083417.81,19.67,40.27,5208801.83,2874615.98,8.71,50.34
2020,Mar,3 Series,Sedan,Diesel,USA,USA,897,105632,94751904,79991449.97,14760454.03,15.58,20.83,12012499.95,2747954.08,3.44,30.9
2020,Mar,3 Series,Sedan,Electric,China,China,894,119835,107132490,75605120.9,31527369.1,29.43,42.3,13582091.51,17945277.59,23.74,52.37
2020,Mar,3 Series,Sedan,Electric,Rest_of_World,Brazil,1201,71529,85906329,70347011.06,15559317.94,18.11,22.45,10891071.62,4668246.32,6.64,32.52
2020,Mar,5 Series,Sedan,Electric,Europe,France,509,40002,20361018,17181138.46,3179879.54,15.62,38.81,2581338.39,598541.15,3.48,48.88
2020,Mar,5 Series,Sedan,Diesel,USA,USA,474,59332,28123368,18714917.41,9408450.59,33.45,48.8,3565437.13,5843013.46,31.22,58.87
2020,Mar,5 Series,Sedan,Hybrid,China,China,823,89926,74009098,62689804.59,11319293.41,15.29,45.25,9382759.06,1936534.35,3.09,55.32
2020,Mar,5 Series,Sedan,Hybrid,Rest_of_World,Japan,1994,50602,100900388,68946959.43,31953428.57,31.67,24.71,12791995.25,19161433.32,27.79,34.78
2020,Mar,7 Series,Sedan,Electric,Europe,UK,513,83894,43037622,34222797.06,8814824.94,20.48,35.72,5456243.2,3358581.74,9.81,45.79
2020,Mar,7 Series,Sedan,Hybrid,USA,USA,1641,109435,179582835,131321155.8,48261679.24,26.87,30.68,22767234.28,25494444.96,19.41,40.75
2020,Mar,7 Series,Sedan,Hybrid,China,China,1536,39854,61215744,49959137.64,11256606.36,18.39,40.52,7760837.42,3495768.94,7,50.59
2020,Mar,7 Series,Sedan,Diesel,Rest_of_World,Japan,1073,101033,,83724502.81,24683906.19,22.77,30.19,,,,40.26
2020,Mar,X1,SUV,Hybrid,Europe,Germany,270,87254,23558580,15645059.44,7913520.56,33.59,46.01,2986720.36,4926800.2,31.49,56.08
2020,Mar,X1,SUV,Diesel,USA,USA,984,39340,38710560,30011103.04,8699456.96,22.47,34.71,4907664.97,3791791.99,12.63,44.78
2020,Mar,X1,SUV,Electric,China,China,1855,38714,71814470,58466262.75,13348207.25,18.59,27.74,9104527.52,4243679.73,7.26,37.81
2020,Mar,X1,SUV,Hybrid,Rest_of_World,South Africa,1051,119966,126084266,103660059.8,22424206.18,17.79,23.09,15984768.38,6439437.8,6.21,33.16
2020,Mar,X3,SUV,Hybrid,Europe,UK,1134,108760,123333840,91341425.27,31992414.73,25.94,23.57,15636073.62,16356341.11,17.91,33.64
2020,Mar,X3,SUV,Diesel,USA,USA,1713,108271,185468223,121529643.8,63938579.18,34.47,43.45,23513374.67,40425204.51,33.26,53.52
2020,Mar,X3,SUV,Hybrid,China,China,653,102453,66901809,,16551474.3,24.74,31.35,8481707.95,8069766.35,,41.42
2020,Mar,X3,SUV,Petrol,Rest_of_World,Brazil,1870,43787,81881690,69595614.17,12286075.83,15,39.74,10380834.11,1905241.72,2.74,49.81
2020,Mar,X5,SUV,Electric,Europe,UK,1605,85427,137110335,92182767.27,44927567.73,32.77,38.4,17382636.37,27544931.36,29.88,48.47
2020,Mar,X5,SUV,Petrol,USA,USA,1531,70903,108552493,82611694.66,25940798.34,23.9,21.32,13762117.29,12178681.05,14.74,31.39
2020,Mar,X5,SUV,Electric,China,China,1041,101432,105590712,89092297.25,16498414.75,15.62,22.65,13386627.28,3111787.47,3.49,32.72
